ID,ORIG_FID,ORIG_LEN,fclass,name,lon,lat,LST,NDVI,GVI_Mean
1324,1285,50.0,secondary,Sembawang Drive,103.81896417,1.44790972,37.0970541147,0.2271203,0.16362426757812498
1325,1798,50.0,tertiary,Gambas Crescent,103.81421864,1.44450403,37.1559709402,0.405018566,0.3135107421875
1326,820,100.0,secondary,Yishun Ring Road,103.83317149,1.43432404,37.1586873191,0.178760298,0.1249322509765625
1327,828,100.0,primary,Canberra Link,103.82746005,1.44709307,37.1729466575,0.304930712,0.2538201904296875
1328,934,50.0,residential,Canberra Way,103.83464454,1.4469724,37.180065155,0.55525782,0.4276629638671875
1329,301,50.0,residential,Yishun Industrial Park A,103.83678575,1.44215982,37.183009221,0.310812877,0.35847229003906256
1330,1440,50.0,primary,Sembawang Way,103.81684077,1.44868357,37.1877687628,0.412429921,0.445126953125
1331,2045,50.0,primary,Yishun Avenue 2,103.83477726,1.4342182,37.2059308566,0.483399729,0.33264099121093754
1332,2489,100.0,primary,Canberra Link,103.82805133,1.4461166,37.2214373075,0.437919326,0.3869268798828125
1333,2489,150.0,primary,Canberra Link,103.82778683,1.44648188,37.2462910243,0.429255383,0.38868041992187496
1334,2489,200.0,primary,Canberra Link,103.82751511,1.446842,37.3513058254,0.40903915,0.32621276855468745
1335,934,100.0,residential,Canberra Way,103.83426607,1.44672869,37.3605763572,0.426475176,0.2427178955078125
1336,272,50.0,primary,Canberra Link,103.82782263,1.44667335,37.4080079397,0.466036568,0.47855529785156253
1337,2042,100.0,residential,Canberra Way,103.83438661,1.44695138,37.4349752154,0.515118499,0.39803283691406255
1338,2042,50.0,residential,Canberra Way,103.83400146,1.44671853,37.4516792297,0.386987722,0.33809814453125
1339,948,100.0,primary,Sembawang Way,103.8153961,1.44834486,37.6251359419,0.453725571,0.495260009765625
1340,911,50.0,primary,Sembawang Way,103.81653264,1.4485185,37.8012577693,0.242538174,0.19772277832031251
1341,2135,50.0,residential,Yishun Industrial Park A,103.83616115,1.44230728,37.8620482225,0.232606775,0.28283203125
1342,2291,100.0,primary,Sembawang Way,103.81562203,1.44830863,37.9077617939,0.461154621,0.5395257568359375
1343,1668,50.0,residential,Yishun Industrial Park A,103.83591682,1.4416345,38.0229897132,0.320678299,0.3431964111328125
1344,820,150.0,secondary,Yishun Ring Road,103.83360958,1.43441611,38.0480951582,0.296549774,0.29794128417968746
1345,1668,100.0,residential,Yishun Industrial Park A,103.83630293,1.44186574,38.1840007489,0.315899899,0.22447509765625
1346,2291,50.0,primary,Sembawang Way,103.81605989,1.44841001,38.203704834,0.380503781,0.365904541015625
1347,2386,50.0,secondary,Sembawang Drive,103.81881136,1.44808108,39.2948851152,0.289948798,0.2662353515625
