ID,ORIG_FID,ORIG_LEN,fclass,name,lon,lat,LST,NDVI,GVI_Mean
316,417,100,secondary,Ubi Avenue 2,103.8990737,1.32992716,36.63657966,0.300072311,0.445591431
317,1984,50,secondary,Ubi Avenue 2,103.8997684,1.33008954,36.49223016,0.124389834,0.174418945
318,1192,100,tertiary,Circuit Road,103.885649,1.32847004,36.20742385,0.246545533,0.166200562
319,2410,100,tertiary,Circuit Road,103.8871451,1.32847685,36.0086285,0.209378995,0.159176025
320,1984,100,secondary,Ubi Avenue 2,103.899353,1.32991724,35.92577127,0.354786593,0.378164063
321,2283,50,primary,Paya Lebar Road,103.8895936,1.32981604,35.86324428,0.321643145,0.358740234
322,1192,150,tertiary,Circuit Road,103.8859272,1.3288122,35.80593436,0.292588642,0.257276001
323,2410,50,tertiary,Circuit Road,103.8868354,1.32880094,35.66214899,0.231595655,0.225568848
324,2653,100,primary,Ang Mo Kio Avenue 6,103.8450562,1.37502906,42.14888668,0.038798993,0.08531189
325,783,50,primary,Ang Mo Kio Avenue 6,103.8450688,1.37441378,41.48114427,0.059612419,0.099283447
326,2463,50,primary,Ang Mo Kio Avenue 6,103.8450117,1.37487198,40.9770159,0.037441658,0.071571655
327,367,50,residential,Ang Mo Kio Central 2,103.846196,1.37326869,40.43444061,0.326520847,0.31737793
328,92,50,primary,Ang Mo Kio Avenue 6,103.8451603,1.37421947,40.24665288,0.102351662,0.09086853
329,1439,50,residential,Mayflower Way,103.84073,1.37227871,40.01376724,0.286683855,0.205684204
330,2531,150,residential,Mayflower Crescent,103.8402772,1.37224528,39.98296386,0.24648989,0.127791748
331,890,50,residential,Mayflower Avenue,103.838857,1.37276649,39.90545709,0.372722547,0.496795654
332,822,50,primary,Ang Mo Kio Avenue 5,103.857004,1.37603062,39.61403069,0.48624198,0.412619019
333,941,50,residential,Mayflower Way,103.8399048,1.37217226,39.42842702,0.245835833,0.161217041
334,1290,50,residential,Ang Mo Kio Central 2,103.8464001,1.37294453,39.35376072,0.398341735,0.402674561
335,2024,250,residential,Mayflower Place,103.8407429,1.37261409,39.34629587,0.269202025,0.132542114
336,1079,50,residential,Ang Mo Kio Central 2,103.8456014,1.3741237,39.32152585,0.308678986,0.318446655
337,1423,100,residential,Ang Mo Kio Street 43,103.8559698,1.36726311,39.2717901,0.472479744,0.431807251
338,2194,50,residential,Mayflower Terrace,103.8406692,1.37167336,39.27001254,0.215696758,0.178551025
339,1507,50,residential,Mayflower Rise,103.8383935,1.37226161,39.2471071,0.572326877,0.630583496
340,2531,100,residential,Mayflower Crescent,103.8400792,1.37265121,39.23600878,0.572006945,0.479018555
341,2653,50,primary,Ang Mo Kio Avenue 6,103.8450003,1.37547773,39.1820934,0.039459842,0.071576538
342,2193,50,primary,Ang Mo Kio Avenue 5,103.8577548,1.37622945,39.11218366,0.308588264,0.283875122
343,2463,100,primary,Ang Mo Kio Avenue 6,103.8449528,1.37532026,39.10363579,0.024480841,0.073426514
344,2309,50,primary,Ang Mo Kio Avenue 5,103.8580232,1.37649011,39.06185062,0.218428883,0.161566772
345,1191,200,primary,Ang Mo Kio Avenue 6,103.8454176,1.37220433,39.04292436,0.061418871,0.122164307
346,1191,150,primary,Ang Mo Kio Avenue 6,103.8453601,1.3726528,38.96508701,0.036113856,0.10661377
347,303,50,primary,Ang Mo Kio Avenue 8,103.8491398,1.36993514,38.94069202,0.130168659,0.167893066
348,1290,100,residential,Ang Mo Kio Central 2,103.846846,1.37299951,38.92245553,0.508312399,0.506350098
349,2194,100,residential,Mayflower Terrace,103.840224,1.37161223,38.92236856,0.228158038,0.235795898
350,846,100,primary,Ang Mo Kio Avenue 8,103.8484588,1.37132556,38.88789336,0.472058617,0.437410278
351,801,50,primary,Ang Mo Kio Avenue 8,103.8491557,1.37015588,38.88371686,0.073508699,0.087767334
352,523,50,residential,Ang Mo Kio Street 53,103.8508913,1.37511878,38.85512652,0.304172783,0.307281494
353,345,50,primary,Ang Mo Kio Avenue 3,103.8563508,1.36915607,38.80288996,0.288103479,0.220571289
354,2615,100,primary,Ang Mo Kio Avenue 5,103.8570852,1.37622305,38.79402718,0.528320191,0.484421997
355,1817,50,primary,Ang Mo Kio Avenue 3,103.8562939,1.36926871,38.74199148,0.213894798,0.290529785
356,1726,50,primary,Ang Mo Kio Avenue 6,103.8452587,1.37235437,38.66603851,0.07905989,0.111630249
357,1191,250,primary,Ang Mo Kio Avenue 6,103.8454751,1.37175586,38.65957906,0.086939,0.097628784
358,162,50,residential,Ang Mo Kio Street 43,103.8558847,1.36718699,38.6295493,0.441479356,0.484573364
359,2561,100,primary,Ang Mo Kio Avenue 8,103.8484071,1.37181557,38.58120551,0.475663958,0.4574823
360,1458,50,residential,Ang Mo Kio Central 2,103.8456529,1.37406997,38.51365251,0.396826369,0.318446655
361,760,50,residential,Mayflower Avenue,103.8393067,1.3724203,38.48788716,0.457264026,0.469971313
362,2024,100,residential,Mayflower Place,103.8398834,1.37352443,38.48703512,0.335259829,0.392280273
